Comment,Designator,Footprint,LCSC,Quantity
0.1uF,"C5,C6,C7,C8",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C141382,4
100nF,"C13,C16,C17",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1525,3
10k,"R4,R5,R6,R7",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11616,4
10pF,"C11,C12",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C32949,2
10uF,C9,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15525,1
1k,R8,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C11702,1
1pF,C14,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C1550,1
1uF,"C10,C3,C4",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923,3
2.7nH,L1,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C27123,1
2k,R3,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C4109,1
3.9nH,L2,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C14033,1
330,R9,R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25104,1
4.7uF,"C1,C2",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C23733,2
5.1k,"R1,R2",R_0402_1005Metric_Pad0.72x0.64mm_HandSolder,C25905,2
AP2112K-3.3,U2,SOT-23-5,C51118,1
Antenna,ANT1,Johanson_2450AT18x100,C89334,1
ESP32-C3,U3,QFN-32-1EP_5x5mm_P0.5mm_EP3.7x3.7mm,C2858491,1
LED_CHARGE,D1,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C71911,1
LED_CONN,D2,LED_0402_1005Metric_Pad0.77x0.64mm_HandSolder,C74338,1
MCP73831-2-OT,U1,SOT-23-5,C424093,1
NX3225GD-40M,Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,C9010,1
SW_BOOT,SW2,SW_SPST_TL3342,C19779067,1
SW_LOCK,SW4,SW_SPST_PTS645Sx43SMTR92,C19779067,1
SW_POWER,SW1,450404015514,C97433,1
SW_RESET,SW3,SW_SPST_TL3342,C19779067,1
SW_UNLOCK,SW5,SW_SPST_PTS645Sx43SMTR92,C19779067,1
USB_C_Receptacle_USB2.0_16P,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C393939,1
VBAT,J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,C131337,1
